Provincia,Pantallas,Butacas,espacio_INCAA
Catamarca,5,743,
Catamarca,1,440,0
Chaco,5,820,
Chubut,1,80,
Corrientes,1,240,
Entre Ríos,1,330,
Entre Ríos,1,180,
Entre Ríos,1,400,
Entre Ríos,2,300,
Entre Ríos,2,154,
Entre Ríos,1,198,
Jujuy,1,120,si
Jujuy,1,201,
La Pampa,1,114,
La Pampa,1,352,
La Rioja,2,216,
Misiones,1,520,
Misiones,1,40,
Misiones,1,546,si
Salta,1,252,
Salta,1,120,
Salta,5,897,
Salta,1,145,
San Juan,5,849,
San Luis,1,100,
San Luis,1,75,
Santa Cruz,3,290,
Santa Cruz,1,80,
Santiago del Estero,1,233,
Santiago del Estero,1,136,
Tucumán,2,219,
Santa Fe,1,299,
Santa Fe,3,584,
Santa Fe,4,920,
Santa Fe,1,800,
Santa Fe,1,305,
Mendoza,2,284,
Mendoza,2,302,
Córdoba,2,324,
Córdoba,2,307,
Córdoba,1,279,
Córdoba,1,200,
Córdoba,4,955,
Córdoba,1,219,
Córdoba,2,322,
Córdoba,6,1398,
Ciudad Autónoma de Buenos Aires,2,250,
Ciudad Autónoma de Buenos Aires,3,585,
Ciudad Autónoma de Buenos Aires,1,235,
Ciudad Autónoma de Buenos Aires,1,1494,si
Ciudad Autónoma de Buenos Aires,3,432,
Ciudad Autónoma de Buenos Aires,10,1918,
Ciudad Autónoma de Buenos Aires,2,212,
Ciudad Autónoma de Buenos Aires,8,1908,
Ciudad Autónoma de Buenos Aires,1,160,
Buenos Aires,1,300,
Buenos Aires,1,60,SI
Buenos Aires,6,1121,
Buenos Aires,1,220,
Buenos Aires,16,3485,
Buenos Aires,1,45,
Buenos Aires,1,522,SI
Buenos Aires,6,1315,
Buenos Aires,1,271,
Buenos Aires,1,250,SI
Buenos Aires,1,256,SI
Buenos Aires,1,540,
Buenos Aires,1,600,
Buenos Aires,1,350,
Buenos Aires,1,660,
Buenos Aires,1,349,SI
Buenos Aires,1,100,
Buenos Aires,1,272,
Buenos Aires,1,208,
Buenos Aires,3,1358,
Buenos Aires,2,383,
Buenos Aires,1,385,
Buenos Aires,3,453,
Buenos Aires,1,280,
Buenos Aires,8,1865,
Buenos Aires,9,1407,
Buenos Aires,2,197,
